field,description,data_type,source
own_kickoff_recovery_player_id,Unique identifier for the player that recovered their own kickoff.,,nflfastR::field_descriptions
own_kickoff_recovery_player_name,String name for the player that recovered their own kickoff.,,nflfastR::field_descriptions
own_kickoff_recovery_td,Binary indicator for if the kicking team recovered the kickoff and scored a TD.,,nflfastR::field_descriptions
pass,Binary indicator if the play was a pass play (sacks and scrambles included).,,nflfastR::field_descriptions
pass_attempt,Binary indicator for if the play was a pass attempt (includes sacks).,,nflfastR::field_descriptions
pass_defense_1_player_id,Unique identifier of one of the players with a pass defense.,,nflfastR::field_descriptions
pass_defense_1_player_name,String name of one of the players with a pass defense.,,nflfastR::field_descriptions
pass_defense_2_player_id,Unique identifier of one of the players with a pass defense.,,nflfastR::field_descriptions
pass_defense_2_player_name,String name of one of the players with a pass defense.,,nflfastR::field_descriptions
pass_length,String indicator for pass length: short or deep.,,nflfastR::field_descriptions
pass_location,"String indicator for pass location: left, middle, or right.",,nflfastR::field_descriptions
pass_oe,Dropback percent over expected on a given play scaled from 0 to 100.,,nflfastR::field_descriptions
pass_touchdown,Binary indicator for if the play resulted in a passing TD.,,nflfastR::field_descriptions
passer,Name of the dropback player (scrambles included) including plays with penalties.,,nflfastR::field_descriptions
passer_id,ID of the player in the 'passer' column.,,nflfastR::field_descriptions
passer_jersey_number,Jersey number of the passer.,,nflfastR::field_descriptions
passer_player_id,Unique identifier for the player that attempted the pass.,,nflfastR::field_descriptions
passer_player_name,String name for the player that attempted the pass.,,nflfastR::field_descriptions
passing_yards,"Numeric yards by the passer_player_name, including yards gained in pass plays with laterals. This should equal official passing statistics.",,nflfastR::field_descriptions
penalty,Binary indicator for whether or not a penalty occurred.,,nflfastR::field_descriptions
penalty_player_id,Unique identifier for the player with the penalty.,,nflfastR::field_descriptions
penalty_player_name,String name for the player with the penalty.,,nflfastR::field_descriptions
penalty_team,String abbreviation of the team with the penalty.,,nflfastR::field_descriptions
penalty_type,String indicating the penalty type of the first penalty in the given play. Will be `NA` if `desc` is missing the type.,,nflfastR::field_descriptions
penalty_yards,Yards gained (or lost) by the posteam from the penalty.,,nflfastR::field_descriptions
play,"Binary indicator: 1 if the play was a 'normal' play (including penalties), 0 otherwise.",,nflfastR::field_descriptions
play_clock,Time on the playclock when the ball was snapped.,,nflfastR::field_descriptions
play_deleted,Binary indicator for deleted plays.,,nflfastR::field_descriptions
play_id,Numeric play id that when used with game_id and drive provides the unique identifier for a single play.,,nflfastR::field_descriptions
play_type,"String indicating the type of play: pass (includes sacks), run (includes scrambles), punt, field_goal, kickoff, extra_point, qb_kneel, qb_spike, no_play (timeouts and penalties), and missing for rows indicating end of play.",,nflfastR::field_descriptions
play_type_nfl,Play type as listed in the NFL source. Slightly different to the regular play_type variable.,,nflfastR::field_descriptions
posteam,String abbreviation for the team with possession.,,nflfastR::field_descriptions
posteam_score,Score the posteam at the start of the play.,,nflfastR::field_descriptions
posteam_score_post,Score for the posteam at the end of the play.,,nflfastR::field_descriptions
posteam_timeouts_remaining,Number of timeouts remaining for the possession team.,,nflfastR::field_descriptions
posteam_type,String indicating whether the posteam team is home or away.,,nflfastR::field_descriptions
punt_attempt,Binary indicator for punts.,,nflfastR::field_descriptions
punt_blocked,Binary indicator for if the punt was blocked.,,nflfastR::field_descriptions
punt_downed,Binary indicator for if the punt was downed.,,nflfastR::field_descriptions
punt_fair_catch,Binary indicator for if the punt was caught with a fair catch.,,nflfastR::field_descriptions
punt_in_endzone,Binary indicator for if the punt was in the endzone.,,nflfastR::field_descriptions
punt_inside_twenty,Binary indicator for if the punt ended inside the twenty yard line.,,nflfastR::field_descriptions
punt_out_of_bounds,Binary indicator for if the punt went out of bounds.,,nflfastR::field_descriptions
punt_returner_player_id,Unique identifier for the punt returner.,,nflfastR::field_descriptions
punt_returner_player_name,String name for the punt returner.,,nflfastR::field_descriptions
punter_player_id,Unique identifier for the punter.,,nflfastR::field_descriptions
punter_player_name,String name for the punter.,,nflfastR::field_descriptions
qb_dropback,"Binary indicator for whether or not the QB dropped back on the play (pass attempt, sack, or scrambled).",,nflfastR::field_descriptions
qb_epa,Gives QB credit for EPA for up to the point where a receiver lost a fumble after a completed catch and makes EPA work more like passing yards on plays with fumbles.,,nflfastR::field_descriptions
qb_hit,Binary indicator if the QB was hit on the play.,,nflfastR::field_descriptions
qb_hit_1_player_id,Unique identifier for one of the potential players that hit the QB. No sack as the QB was not the ball carrier. For sacks please see `sack_player` or `half_sack_*_player`.,,nflfastR::field_descriptions
