season,week,team,conference,logo,games,prior_weight,power_pts,off_pts,def_pts,power_rank,off_rank,def_rank,off_wepa,off_pass_epa,off_rush_epa,off_eckel_rate,off_eckel_rate_oe,def_wepa,def_pass_epa,def_rush_epa,def_eckel_rate,def_eckel_rate_oe,adj_off_rush_epa,adj_def_rush_epa,adj_off_pass_epa,adj_def_pass_epa,off_wepa_rank,off_pass_epa_rank,off_rush_epa_rank,off_eckel_rate_rank,def_wepa_rank,def_pass_epa_rank,def_rush_epa_rank,def_eckel_rate_rank,power_change,rank_change
2025,12,Tennessee,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,10,0,4.056656300854656,4.951521521399293,-0.8948652205446368,28,19,87,3.7347149029113145,0.39863920580899775,0.26066624548514206,0.5859375,0.25046697201802565,-0.658152088400998,0.17148607857734494,0.1084666692091032,0.49242424242424243,0.1529067613662289,0.06015147669679409,-0.012694341378314555,0.08645216009574784,-0.020604773844838296,16,17,18,15,92,55,58,98,-0.8331283042192146,-3
2025,12,Navy,American Athletic,https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,10,0,3.8776850022757205,5.468244224506815,-1.5905592222310947,29,13,95,3.943594552258658,0.36883871761614484,0.3749641411507488,0.6283185840707964,0.25188637400265246,-0.8451982284116881,0.36618116964555547,0.15950913307568823,0.48,0.11737225748533356,0.14238651697753116,0.015599221586649278,0.013498581285256144,0.10217125042491286,14,26,1,5,66,121,92,93,-0.21226145414443653,1
2025,12,Ole Miss,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,11,0,3.8297327844206426,3.2322271993951337,0.5975055850255088,30,32,61,3.154120654761844,0.42751418317968143,0.18456021514334367,0.6149068322981367,0.2576865827574631,-0.46262440278829225,0.11609115690543143,0.14116349683924434,0.4294478527607362,0.0733677857412229,0.037689288389044714,0.0064897392169769195,0.09233363792444547,-0.056604135168348516,28,11,43,7,109,32,82,58,-0.6764048534089038,-2
2025,12,Penn State,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,10,0,3.6603997537658493,1.0059912268612763,2.654408526904573,31,52,31,2.2119284107849486,0.18875850350515472,0.19335730281879257,0.4787234042553192,0.11142766670228711,-1.1278810172596156,0.12961247601185488,0.16444464912536302,0.4056603773584906,0.05037338253802602,0.02097943523254147,0.017856256715042866,0.010729282445998519,-0.0572116211139969,64,85,36,64,36,36,94,40,1.3406860701631418,17
2025,12,Florida State,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,10,0,3.608637039528806,3.629086028457565,-0.020448988928758943,32,26,76,3.4064000921767055,0.38412135277146403,0.30213653619746267,0.6388888888888888,0.2863835302409901,-1.1809420455391628,0.20837797226290533,0.07605484875425735,0.375,0.0239683149680203,0.08791006581377273,-0.002460040721689493,0.07488381451660266,-0.003230834850543264,20,20,9,3,33,69,42,26,-0.7648246299748775,-3
2025,12,NC State,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,10,0,3.526424876801422,5.320176355470457,-1.7937514786690343,33,16,98,3.557167296433065,0.37554730000640574,0.12529825030742472,0.4626865671641791,0.10678067965970833,-0.7464222429996202,0.2755019090795715,0.13220380644223956,0.536,0.17806369928754306,0.007210209307361183,-0.001269765647853253,0.07927432341490713,0.048441104944906895,18,23,74,74,76,92,75,122,-3.8746491467492934,-17
2025,12,Wake Forest,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,10,0,3.220243337874181,-4.481329406084805,7.701572743958986,34,119,1,1.128788784391073,0.18388493495634692,0.15164139878828076,0.38345864661654133,0.04259146965042519,-1.632157459973907,0.04025393206011542,0.03313934508915477,0.38848920863309355,0.04510799987628601,0.008165018276712099,-0.05148812952533125,-0.0521825791596607,-0.10389718562347049,117,87,59,114,7,13,19,30,-0.3953303797603489,0
2025,12,Missouri,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,10,0,3.1575567388281316,-0.24101374482831717,3.3985704836564485,35,67,20,2.712146650267819,0.24649884733307353,0.2907973865525134,0.5206611570247934,0.16310192439890295,-1.3781972162961824,-2.556219974607611e-4,0.06863534614852312,0.36,-0.0038793016665079855,0.08955445820721752,-0.015916038128031974,-0.05149547593968886,-0.09268865048338422,46,67,11,39,12,4,36,20,0.80577357391621,12
2025,12,Louisville,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,10,0,3.035920555915779,-0.2841125392650441,3.3200330951808232,36,70,23,2.0498645980032886,0.13807456232988397,0.24068542027186263,0.448,0.09032733401839031,-1.1177344657190798,0.02578487494025974,0.10403087430799146,0.3383458646616541,-0.015919261369292115,0.07127817587271004,-0.006268840305824436,-0.057694667089151046,-0.08227623275975433,73,105,24,81,37,9,55,11,2.0344485443885887,26
2025,12,UTSA,American Athletic,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,10,0,2.701322526024013,3.2511834477884656,-0.5498609217644526,37,31,86,3.030342388816614,0.31315056303148336,0.17374918065937378,0.48854961832061067,0.12139832524074448,-0.8432289283199047,0.2377468713752664,0.0850736863754563,0.41911764705882354,0.0620498319465886,-0.002461459681786194,-0.0032120470273061894,0.04578683774550454,0.013365897904603009,33,42,51,56,68,78,43,50,-0.4893894678752213,1
